id,type,timestamp,message,agency,DPA,county,OES region,lat/lon,pushed/reason,modeler,"notes (fire name, other)",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1761470541.0,PP,2024-02-28 18:55,"College Ave & Morning Dr, Kern County, CA",KC,LOCAL,Kern,5.0,N 35° 23.006' W 118° 54.855',Other - Enter reason,Jen,CXL; illegal burn,,,,,,
1743175328,PulsePoint,2024-02-12 00:20,"ORC, Regency Ln & Osterman Rd, LAKE FOREST",ORC,LOCAL,Orange,1.0,"33.661171, -117.662237",,,,,,,,,
1743175328,PulsePoint,2024-02-12 00:20,"ORC, Regency Ln & Osterman Rd, LAKE FOREST",ORC,LOCAL,Orange,1.0,"33.661171, -117.662237",,,,,,,,,
1743175328,PulsePoint,2024-02-12 00:20,"ORC, Regency Ln & Osterman Rd, LAKE FOREST",ORC,LOCAL,Orange,1.0,"33.661171, -117.662237",,,,,,,,,
cc072a92-737c-4314-a10f-8e34b5d80189,IRWIN,2024-02-12 02:25,"RVC, N PERRIS BL  PERR IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8027118847372, -117.226215994041",,,,,,,,,
5ddfb336-9b73-4144-a7aa-49605a22d8e2,IRWIN,2024-02-12 02:48,"RVC, COUNTRY CLUB DR / ADAMS ST IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7543249307905, -116.28637982615",,,,,,,,,
1743245889,PulsePoint,2024-02-12 03:08,"LAC, N GIBBS ST & E MONTEREY AVE, POMONA",LAC,LOCAL,Los Angeles,1.0,"34.06069, -117.74801999999998",,,,,,,,,
29b07dcb-85de-4beb-84a6-cf14f2c244c5,IRWIN,2024-02-12 05:00,"RVC, CENTRAL AV / COLLIER AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6900508654933, -117.339837004708",,,,,,,,,
47b75348-02f5-47ca-985b-2ce84145508d,IRWIN,2024-02-12 05:24,"RVC, CABAZON AV  INDO IC Riverside",RVC,LOCAL,Riverside,6.0,"33.7055619300246, -116.193849805959",,,,,,,,,
583feca3-00c6-4c3e-84f9-c748ee8a3e54,IRWIN,2024-02-12 05:58,"RVC, CAJALCO EXPRESSWAY  / HARVILL AV IC Riverside",RVC,LOCAL,Riverside,6.0,"33.8414378875705, -117.255627002188",,,,,,,,,
1743611603,PulsePoint,2024-02-12 11:42,"LAC, N 50TH ST E & E AVENUE M, PALMDALE",LAC,FEDERAL,Los Angeles,1.0,"34.64597, -118.04091",,,,,,,,,
1743687375,PulsePoint,2024-02-12 13:04,"LAC, WB 105 AT GARFIELD AV--AA-E62DNY ,PRMT, PARAMOUNT",LAC,LOCAL,Los Angeles,1.0,"33.91124, -118.16890000000001",Urban,Treva,,,,,,,
6413b9da-9be7-4248-bdc3-7364d80b46ab,IRWIN,2024-02-12 13:36,"RVC, W GRAHAM AV  LELS IC Riverside",RVC,LOCAL,Riverside,6.0,"33.6681058636173, -117.327909000937",Urban,Treva,Nothing on cams,,,,,,
